candidate,start_date,end_date,start_decade,final_multiple,cagr,max_drawdown
allocation_noGoldEquiv,1981-05,2011-04,1980s,36.5849,12.748,29.10
A_Current,1981-06,2011-05,1980s,38.7519,12.965,47.79
G15_noGoldEquiv,1981-06,2011-05,1980s,22.0897,10.868,27.52
allocation_noGoldEquiv,1981-06,2011-05,1980s,35.7440,12.661,28.66
A_Current,1981-07,2011-06,1980s,36.8193,12.772,47.83
G15_noGoldEquiv,1981-07,2011-06,1980s,21.2256,10.721,28.01
allocation_noGoldEquiv,1981-07,2011-06,1980s,34.3326,12.510,29.08
A_Current,1981-08,2011-07,1980s,37.4551,12.837,48.15
G15_noGoldEquiv,1981-08,2011-07,1980s,21.6729,10.798,28.51
allocation_noGoldEquiv,1981-08,2011-07,1980s,35.0755,12.590,29.57
A_Current,1981-09,2011-08,1980s,34.7628,12.556,48.20
G15_noGoldEquiv,1981-09,2011-08,1980s,21.0957,10.698,28.53
allocation_noGoldEquiv,1981-09,2011-08,1980s,33.1761,12.381,29.57
A_Current,1981-10,2011-09,1980s,36.3914,12.728,48.29
G15_noGoldEquiv,1981-10,2011-09,1980s,22.2429,10.894,28.96
allocation_noGoldEquiv,1981-10,2011-09,1980s,34.5574,12.534,29.94
A_Current,1981-11,2011-10,1980s,37.3571,12.827,48.30
G15_noGoldEquiv,1981-11,2011-10,1980s,21.8715,10.831,29.24
allocation_noGoldEquiv,1981-11,2011-10,1980s,34.4945,12.527,28.78
A_Current,1981-12,2011-11,1980s,36.1742,12.706,48.17
G15_noGoldEquiv,1981-12,2011-11,1980s,20.9234,10.668,29.05
allocation_noGoldEquiv,1981-12,2011-11,1980s,33.4299,12.410,28.63
A_Current,1982-01,2011-12,1980s,37.0637,12.797,47.78
G15_noGoldEquiv,1982-01,2011-12,1980s,22.0535,10.862,28.32
allocation_noGoldEquiv,1982-01,2011-12,1980s,34.5024,12.528,28.13
A_Current,1982-02,2012-01,1980s,39.9126,13.076,48.14
G15_noGoldEquiv,1982-02,2012-01,1980s,22.9028,11.002,29.21
allocation_noGoldEquiv,1982-02,2012-01,1980s,36.2021,12.709,28.81
A_Current,1982-03,2012-02,1980s,42.5824,13.320,47.83
